Model,Params,MSE,MAE,RMSE,R2,feature_subset
LSTM,"{'units': 2, 'epochs': 10, 'batch_size': 32}",2.163827646114163,1.2198242647949897,1.4709954609427465,-0.12376322351164215,"['days_since_election', 'seats']"
LSTM,"{'units': 2, 'epochs': 10, 'batch_size': 64}",36.42064544732337,5.873254799979395,6.034951983845718,-17.91471439685052,"['days_since_election', 'seats']"
LSTM,"{'units': 2, 'epochs': 30, 'batch_size': 32}",2.1752132682581116,1.1317202382974547,1.4748604233140543,-0.12967623763970648,"['days_since_election', 'seats']"
LSTM,"{'units': 2, 'epochs': 30, 'batch_size': 64}",2.0569557037151704,1.2016148099680795,1.4342090864707175,-0.06826030085099588,"['days_since_election', 'seats']"
LSTM,"{'units': 5, 'epochs': 10, 'batch_size': 32}",2.0347577578212497,1.1913174458269804,1.4264493534020932,-0.05673200964079439,"['days_since_election', 'seats']"
LSTM,"{'units': 5, 'epochs': 10, 'batch_size': 64}",14.50429406409594,2.855640354865002,3.8084503494329476,-6.53266660655711,"['days_since_election', 'seats']"
LSTM,"{'units': 5, 'epochs': 30, 'batch_size': 32}",2.0427053163911615,1.1936602929853044,1.4292324221032635,-0.06085949828510029,"['days_since_election', 'seats']"
LSTM,"{'units': 5, 'epochs': 30, 'batch_size': 64}",1.960082442920919,1.1607364886854536,1.4000294435907121,-0.01795009799462277,"['days_since_election', 'seats']"
LSTM,"{'units': 10, 'epochs': 10, 'batch_size': 32}",2.0567515576436293,1.1933585145081471,1.4341379144432482,-0.06815427953833053,"['days_since_election', 'seats']"
LSTM,"{'units': 10, 'epochs': 10, 'batch_size': 64}",2.4546414081051053,1.2589127003664597,1.566729526148373,-0.2747945735377737,"['days_since_election', 'seats']"
LSTM,"{'units': 10, 'epochs': 30, 'batch_size': 32}",2.0845123493917344,1.1968114666861664,1.4437840383491343,-0.08257158161787004,"['days_since_election', 'seats']"
LSTM,"{'units': 10, 'epochs': 30, 'batch_size': 64}",2.059738495097495,1.1940402385359505,1.4351789069999235,-0.06970551697982086,"['days_since_election', 'seats']"
LSTM,"{'units': 2, 'epochs': 10, 'batch_size': 32}",1.8921416889732188,1.112176582337711,1.375551412697184,0.01733428373568202,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']"
LSTM,"{'units': 2, 'epochs': 10, 'batch_size': 64}",2.2512141058398343,1.1773751890562936,1.500404647366781,-0.16914654683175168,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']"
LSTM,"{'units': 2, 'epochs': 30, 'batch_size': 32}",3.019042869974035,1.4327808470738865,1.7375393146556526,-0.5679110827401193,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']"
LSTM,"{'units': 2, 'epochs': 30, 'batch_size': 64}",9.459056021461569,2.579935302631553,3.075557839069454,-3.9124704110070514,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']"
LSTM,"{'units': 5, 'epochs': 10, 'batch_size': 32}",1.850226041169645,1.1168239428347975,1.3602301427220487,0.039102775129121525,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']"
LSTM,"{'units': 5, 'epochs': 10, 'batch_size': 64}",1.9275799312864454,1.1120619609992137,1.3883731239427122,-0.0010702289753998784,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']"
