0,1
"<Sequential name=sequential, built=True>","{'units': 2, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential, built=True>","{'units': 2, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential, built=True>","{'units': 2, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential_3, built=True>","{'units': 2, 'epochs': 30, 'batch_size': 64, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential_4, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential_4, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential_4, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential_7, built=True>","{'units': 5, 'epochs': 30, 'batch_size': 64, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential_7, built=True>","{'units': 5, 'epochs': 30, 'batch_size': 64, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential_7, built=True>","{'units': 5, 'epochs': 30, 'batch_size': 64, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential_7, built=True>","{'units': 5, 'epochs': 30, 'batch_size': 64, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential_7, built=True>","{'units': 5, 'epochs': 30, 'batch_size': 64, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential_12, built=True>","{'units': 2, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_12, built=True>","{'units': 2, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_12, built=True>","{'units': 2, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_12, built=True>","{'units': 2, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_16, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_16, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_16, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_16, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 10, 'epochs': 10, 'batch_size': 32, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']}"
