Model,Params,MSE,MAE,RMSE,R2,feature_subset
RandomForest,"{'n_estimators': 50, 'max_depth': 10}",0.9523153323675652,0.7428771634229804,0.9758664521170738,0.5054241267215634,"['days_since_election', 'seats']"
RandomForest,"{'n_estimators': 50, 'max_depth': 15}",0.6474006667203661,0.6067763980208822,0.8046121219074233,0.6637786463983089,"['days_since_election', 'seats']"
RandomForest,"{'n_estimators': 50, 'max_depth': 20}",0.4371428666909426,0.4851128149135553,0.6611678052438296,0.7729740268870676,"['days_since_election', 'seats']"
RandomForest,"{'n_estimators': 100, 'max_depth': 10}",0.9597873375267167,0.744207790259478,0.9796873672385067,0.5015436121996131,"['days_since_election', 'seats']"
RandomForest,"{'n_estimators': 100, 'max_depth': 15}",0.6461261407402304,0.6059085687028634,0.8038197190541113,0.6644405592944025,"['days_since_election', 'seats']"
RandomForest,"{'n_estimators': 100, 'max_depth': 20}",0.43437849082350183,0.4840294774843501,0.6590739646075408,0.7744096790941053,"['days_since_election', 'seats']"
RandomForest,"{'n_estimators': 200, 'max_depth': 10}",0.9601802729758493,0.7442436432327946,0.9798878879626226,0.5013395449266294,"['days_since_election', 'seats']"
RandomForest,"{'n_estimators': 200, 'max_depth': 15}",0.6442482155825335,0.6053199438378575,0.8026507432143407,0.6654158417909158,"['days_since_election', 'seats']"
RandomForest,"{'n_estimators': 200, 'max_depth': 20}",0.434553331830658,0.4845300438416355,0.659206592678394,0.7743188770867659,"['days_since_election', 'seats']"
RandomForest,"{'n_estimators': 50, 'max_depth': 10}",1.0236234721605297,0.7434521798990202,1.0117427895273234,0.46839092531096793,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']"
RandomForest,"{'n_estimators': 50, 'max_depth': 15}",1.0236234721605297,0.7434521798990202,1.0117427895273234,0.46839092531096793,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']"
RandomForest,"{'n_estimators': 50, 'max_depth': 20}",1.0236234721605297,0.7434521798990202,1.0117427895273234,0.46839092531096793,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']"
RandomForest,"{'n_estimators': 100, 'max_depth': 10}",1.0238632857781476,0.7435772013768138,1.011861297697539,0.4682663803988719,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']"
RandomForest,"{'n_estimators': 100, 'max_depth': 15}",1.0238632857781476,0.7435772013768138,1.011861297697539,0.4682663803988719,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']"
RandomForest,"{'n_estimators': 100, 'max_depth': 20}",1.0238632857781476,0.7435772013768138,1.011861297697539,0.4682663803988719,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']"
RandomForest,"{'n_estimators': 200, 'max_depth': 10}",1.023130062855845,0.743428796521437,1.011498918860443,0.46864717272130985,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']"
RandomForest,"{'n_estimators': 200, 'max_depth': 15}",1.023130062855845,0.743428796521437,1.011498918860443,0.46864717272130985,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']"
RandomForest,"{'n_estimators': 200, 'max_depth': 20}",1.023130062855845,0.743428796521437,1.011498918860443,0.46864717272130985,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']"
RandomForest,"{'n_estimators': 50, 'max_depth': 10}",0.9192170372821672,0.6835241569146249,0.958758070256604,0.5226134101863076,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
RandomForest,"{'n_estimators': 50, 'max_depth': 15}",0.9192170372821672,0.6835241569146249,0.958758070256604,0.5226134101863076,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
RandomForest,"{'n_estimators': 50, 'max_depth': 20}",0.9192170372821672,0.6835241569146249,0.958758070256604,0.5226134101863076,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
RandomForest,"{'n_estimators': 100, 'max_depth': 10}",0.9186907483640108,0.6834452722766858,0.9584835670808398,0.5228867333099065,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
RandomForest,"{'n_estimators': 100, 'max_depth': 15}",0.9186907483640108,0.6834452722766858,0.9584835670808398,0.5228867333099065,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
RandomForest,"{'n_estimators': 100, 'max_depth': 20}",0.9186907483640108,0.6834452722766858,0.9584835670808398,0.5228867333099065,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
RandomForest,"{'n_estimators': 200, 'max_depth': 10}",0.9182910701687326,0.6834431503988434,0.9582750493301663,0.523094302363708,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
RandomForest,"{'n_estimators': 200, 'max_depth': 15}",0.9182910701687326,0.6834431503988434,0.9582750493301663,0.523094302363708,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
