0,1
LinearRegression(fit_intercept=False),"{'fit_intercept': True, 'feature_subset': ['days_since_election', 'seats']}"
LinearRegression(fit_intercept=False),"{'fit_intercept': True, 'feature_subset': ['days_since_election', 'seats']}"
LinearRegression(fit_intercept=False),"{'fit_intercept': True, 'feature_subset': ['days_since_election', 'seats', 'state_market']}"
LinearRegression(fit_intercept=False),"{'fit_intercept': True, 'feature_subset': ['days_since_election', 'seats', 'state_market']}"
LinearRegression(fit_intercept=False),"{'fit_intercept': True, 'feature_subset': ['seats', 'state_market', 'block_left', 'block_right']}"
LinearRegression(fit_intercept=False),"{'fit_intercept': True, 'feature_subset': ['seats', 'state_market', 'block_left', 'block_right']}"
LinearRegression(fit_intercept=False),"{'fit_intercept': True, 'feature_subset': ['days_since_election', 'seats', 'block_left', 'block_right', 'state_market']}"
LinearRegression(fit_intercept=False),"{'fit_intercept': True, 'feature_subset': ['days_since_election', 'seats', 'block_left', 'block_right', 'state_market']}"
LinearRegression(fit_intercept=False),"{'fit_intercept': True, 'feature_subset': ['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
LinearRegression(fit_intercept=False),"{'fit_intercept': True, 'feature_subset': ['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
LinearRegression(fit_intercept=False),"{'fit_intercept': True, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
LinearRegression(fit_intercept=False),"{'fit_intercept': True, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
LinearRegression(fit_intercept=False),"{'fit_intercept': True, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
LinearRegression(fit_intercept=False),"{'fit_intercept': True, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
LinearRegression(fit_intercept=False),"{'fit_intercept': True, 'feature_subset': ['government_status_coalition', 'government_status_opposition', 'government_status_support']}"
LinearRegression(fit_intercept=False),"{'fit_intercept': True, 'feature_subset': ['government_status_coalition', 'government_status_opposition', 'government_status_support']}"
LinearRegression(fit_intercept=False),"{'fit_intercept': True, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'state_market']}"
LinearRegression(fit_intercept=False),"{'fit_intercept': True, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'state_market']}"
LinearRegression(fit_intercept=False),"{'fit_intercept': True, 'feature_subset': ['government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
LinearRegression(fit_intercept=False),"{'fit_intercept': True, 'feature_subset': ['government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
LinearRegression(fit_intercept=False),"{'fit_intercept': True, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'state_market']}"
LinearRegression(fit_intercept=False),"{'fit_intercept': True, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'state_market']}"
