Model,Params,MSE_val,MAE_train,MAE_val,RMSE_train,RMSE_val,R2_train,R2_val,feature_subset
LSTM,"{'units': 5, 'epochs': 5, 'batch_size': 32, 'dropout_rate': 0.2}",1.6014854481946477,2.605308128835624,2.692697169239762,2.99755436478179,1.2654981028016785,-8.1204398043874,-9.675575701429699,"['days_since_election', 'seats']"
LSTM,"{'units': 5, 'epochs': 5, 'batch_size': 32, 'dropout_rate': 0.5}",1.6014854481946477,3.31333604713011,3.282454817849452,3.590344473707471,1.2654981028016785,-11.982128886600519,-14.299184004128596,"['days_since_election', 'seats']"
LSTM,"{'units': 5, 'epochs': 5, 'batch_size': 64, 'dropout_rate': 0.2}",1.6014854481946477,5.059670681117343,5.105093350062157,5.403081511670297,1.2654981028016785,-22.85293295864304,-25.34054089019329,"['days_since_election', 'seats']"
LSTM,"{'units': 5, 'epochs': 5, 'batch_size': 64, 'dropout_rate': 0.5}",1.6014854481946477,3.950129240371717,4.021944902785878,4.218975477694189,1.2654981028016785,-14.685478023317836,-17.383089502803838,"['days_since_election', 'seats']"
LSTM,"{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2}",1.043877452765118,1.328617967166951,1.3587267281187607,1.6634337827096521,1.0217032116838618,-1.5261117300555564,-1.791486676404575,"['days_since_election', 'seats']"
LSTM,"{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.5}",1.043877452765118,2.5756642236841287,2.5563003629720455,2.891853054774902,1.0217032116838618,-7.195287476193958,-8.95235688055158,"['days_since_election', 'seats']"
LSTM,"{'units': 5, 'epochs': 10, 'batch_size': 64, 'dropout_rate': 0.2}",1.043877452765118,3.2284952857418867,2.974650378326333,3.603622481266396,1.0217032116838618,-12.105522326269451,-12.086266241134355,"['days_since_election', 'seats']"
LSTM,"{'units': 5, 'epochs': 10, 'batch_size': 64, 'dropout_rate': 0.5}",1.043877452765118,2.830956215273905,2.8770680086448484,3.157888321304897,1.0217032116838618,-8.908183246948244,-10.757675408466438,"['days_since_election', 'seats']"
LSTM,"{'units': 1, 'epochs': 5, 'batch_size': 32, 'dropout_rate': 0.2}",1.043877452765118,3.419596819437437,3.41651555840673,3.865935777254741,1.0217032116838618,-12.529284194943541,-13.96984114158244,"['days_since_election', 'seats']"
LSTM,"{'units': 1, 'epochs': 5, 'batch_size': 32, 'dropout_rate': 0.5}",1.043877452765118,5.65517607234471,5.573753662506271,5.773908563145971,1.0217032116838618,-25.133590710062837,-26.65263325425708,"['days_since_election', 'seats']"
LSTM,"{'units': 1, 'epochs': 5, 'batch_size': 64, 'dropout_rate': 0.2}",1.043877452765118,4.39822707434277,4.350271935670134,4.72498847933652,1.0217032116838618,-18.544894646135813,-20.849921102639044,"['days_since_election', 'seats']"
LSTM,"{'units': 1, 'epochs': 5, 'batch_size': 64, 'dropout_rate': 0.5}",1.043877452765118,5.325063758540318,5.32797017702729,5.539431056679042,1.0217032116838618,-23.28975926771401,-25.334306852555024,"['days_since_election', 'seats']"
LSTM,"{'units': 1, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2}",1.043877452765118,4.215604973215112,4.151378753368738,4.404667262639232,1.0217032116838618,-16.162655671251635,-17.88702350190445,"['days_since_election', 'seats']"
LSTM,"{'units': 1, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.5}",1.043877452765118,4.21731530311421,4.15305909800401,4.406368464101567,1.0217032116838618,-16.17349736495232,-17.89796031538297,"['days_since_election', 'seats']"
LSTM,"{'units': 1, 'epochs': 10, 'batch_size': 64, 'dropout_rate': 0.2}",1.043877452765118,3.3543599410545695,3.481020887841345,3.80468658260098,1.0217032116838618,-11.980965521356833,-14.224623639093132,"['days_since_election', 'seats']"
LSTM,"{'units': 1, 'epochs': 10, 'batch_size': 64, 'dropout_rate': 0.5}",1.043877452765118,6.08452240440685,6.000654880780558,6.194033760220302,1.0217032116838618,-28.83313249476013,-30.03232262246046,"['days_since_election', 'seats']"
LSTM,"{'units': 5, 'epochs': 5, 'batch_size': 32, 'dropout_rate': 0.2}",1.043877452765118,2.7083288460495787,2.722627327629703,3.0397536769133042,1.0217032116838618,-9.327280838512603,-11.290787569893721,"['days_since_election', 'seats', 'state_market']"
LSTM,"{'units': 5, 'epochs': 5, 'batch_size': 32, 'dropout_rate': 0.5}",1.043877452765118,4.073783001300775,3.9074278286890043,4.29487292584224,1.0217032116838618,-14.994749125248795,-15.710989898517086,"['days_since_election', 'seats', 'state_market']"
LSTM,"{'units': 5, 'epochs': 5, 'batch_size': 64, 'dropout_rate': 0.2}",1.043877452765118,3.0950430776817286,3.069405722824201,3.4294368228043997,1.0217032116838618,-10.978820439472504,-12.842926125787958,"['days_since_election', 'seats', 'state_market']"
LSTM,"{'units': 5, 'epochs': 5, 'batch_size': 64, 'dropout_rate': 0.5}",1.043877452765118,3.6863791082534103,3.714083697789091,3.9478255880324506,1.0217032116838618,-13.421676293012597,-15.97839109154678,"['days_since_election', 'seats', 'state_market']"
LSTM,"{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2}",0.8858194742522745,1.3752251716759072,1.4671538408544373,1.7512503833129762,0.9411798309846394,-2.212015464196586,-3.066818076524832,"['days_since_election', 'seats', 'state_market']"
LSTM,"{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.5}",0.8858194742522745,1.6976637772709664,1.7505697003800544,2.035563223068839,0.9411798309846394,-2.7200088576261816,-3.1686938631868586,"['days_since_election', 'seats', 'state_market']"
LSTM,"{'units': 5, 'epochs': 10, 'batch_size': 64, 'dropout_rate': 0.2}",0.8858194742522745,2.2776398922860888,2.3077513712700917,2.619932950187319,0.9411798309846394,-6.514951941824462,-8.115859071829394,"['days_since_election', 'seats', 'state_market']"
LSTM,"{'units': 5, 'epochs': 10, 'batch_size': 64, 'dropout_rate': 0.5}",0.8858194742522745,3.5078488539539627,3.4321111083433933,3.808042474951817,0.9411798309846394,-12.286322817837455,-13.625928504100862,"['days_since_election', 'seats', 'state_market']"
