0,1
"<Sequential name=sequential, built=True>","{'units': 5, 'epochs': 5, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential, built=True>","{'units': 5, 'epochs': 5, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential, built=True>","{'units': 5, 'epochs': 5, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential, built=True>","{'units': 5, 'epochs': 5, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential_4, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential_4, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential_4, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential_4, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential_4, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential_4, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential_4, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential_4, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential_4, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential_4, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential_4, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential_4, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats']}"
"<Sequential name=sequential_4, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'state_market']}"
"<Sequential name=sequential_4, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'state_market']}"
"<Sequential name=sequential_4, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'state_market']}"
"<Sequential name=sequential_4, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'state_market', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'state_market', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'state_market', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'state_market', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'state_market', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'state_market', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'state_market', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'state_market', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'state_market', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'state_market', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'state_market', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'state_market', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'state_market', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'state_market', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'state_market', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'state_market', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'block_left', 'block_right', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'block_left', 'block_right', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'block_left', 'block_right', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'block_left', 'block_right', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'block_left', 'block_right', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'block_left', 'block_right', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'block_left', 'block_right', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'block_left', 'block_right', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'block_left', 'block_right', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'block_left', 'block_right', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'block_left', 'block_right', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'block_left', 'block_right', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'block_left', 'block_right', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'block_left', 'block_right', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'block_left', 'block_right', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'block_left', 'block_right', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['government_status_coalition', 'government_status_opposition', 'government_status_support']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['government_status_coalition', 'government_status_opposition', 'government_status_support']}"
