Model,Params,MSE_val,MAE_train,MAE_val,RMSE_train,RMSE_val,R2_train,R2_val,feature_subset
RandomForest,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 20}",1.8784892807188203,0.6518015902043175,1.0860482655280457,0.9020399940183588,1.3705799067251863,0.3774256977228474,-0.42176858200646494,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",1.8726719966089775,0.6509824442404577,1.083618741459207,0.8994640900929016,1.3684560630904368,0.38097100552926466,-0.41789442881745753,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",1.8777548726979418,0.6511089446620707,1.0851259667878623,0.8998629300539922,1.3703119618167032,0.3804096369551012,-0.4224311746752446,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",1.878895020810772,0.6513426646243791,1.085151491297733,0.9002464350993148,1.3707279164045547,0.37987684163630736,-0.42333769398488796,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 20}",1.8784244105034509,0.6520579526569102,1.0861018633857022,0.9026642405468547,1.3705562412770411,0.37655805368058415,-0.4217714575495708,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",1.8724780350581969,0.6511507838244389,1.083588780253177,0.8999885915979747,1.3683851925018031,0.38024475231995836,-0.4177431860584602,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",1.8774646717459584,0.6512520055011057,1.085108731336886,0.9003176338680344,1.3702060690808366,0.3797764227870903,-0.42219281113698026,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",1.8787176099405563,0.6515006619441749,1.0851228480479946,0.9007430129225777,1.3706632007683566,0.3791847019160926,-0.42320447255703336,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 20}",1.8877911070267779,0.6520913418704697,1.0878880762201577,0.9045351629878959,1.3739691070132465,0.37396925991358976,-0.4321386556770166,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",1.880228995582868,0.6514111405099771,1.0852824823208158,0.9023074533220405,1.3712144236343446,0.37705293698849096,-0.4261718971213381,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",1.8840701145417482,0.6514259681287204,1.0865866539682374,0.9022605025113656,1.3726143356900176,0.37709098168184585,-0.4291252094503118,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",1.8824995620673126,0.651775592375133,1.0857507639954156,0.9026969092597177,1.372042113809672,0.3764795640610147,-0.4275178785122038,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 20}",1.8877154682917734,0.6520839873691365,1.0878769720038965,0.904577228265895,1.3739415811058975,0.3739113818442823,-0.43205805603678593,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.8801616116916995,0.6514018300475589,1.0852504952264717,0.9023908056172619,1.3711898525338129,0.3769384132893632,-0.42610028354733187,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.8839882063434987,0.6514359011245945,1.086567732625647,0.902350396600283,1.3725844987990716,0.37696673340812414,-0.42904076176285183,"['days_since_election', 'seats']"
